Name,Region,Population (rounded)*,Postcode,Ethnic Breakdown 2016,Median House Price (2020),Median House Price (2021),% Change,Median House Rent (per week),Median Apartment Price (2020),Median Apartment Rent (per week),Public Housing %,Avg. Years Held,Time to CBD (Public Transport) [Town Hall St],Time to CBD (Driving) [Town Hall St],Nearest Train Station,Highlights/Attractions,Ideal for,Traffic,Public Transport,Affordability (Rental),Affordability (Buying),Nature,Noise,Things to See/Do,Family-Friendliness,Pet Friendliness,Safety,Overall Rating,Review Link
Hornsby,Upper North Shore,"23,000",2077,"Chinese 17.1%, English 16.8%, Australian 14.0%, Indian 5.9%, Irish 5.6%","$1,150,000.00","$1,400,000.00",21.74%,$600.00,"$645,000.00",$460.00,3%,12.9,40,35,Hornsby,"Westfield Hornsby, numerous parks","Small families, families, retirees, professionals",4,6,7,6,8,7,7,9,8,9,7.1,https://sydneysuburbreviews.com/hornsby
Oatley,Southern Suburbs,"10,500",2223,"English 23.0%, Australian 21.1%, Chinese 9.8%, Irish 8.9%, Scottish 5.7%","$1,550,000.00","$1,800,000.00",16.13%,$670.00,"$780,000.00",$470.00,0%,13.7,30,30,Oatley,"Oatley Park, Oatley Hotel, cycling tracks","Families, professionals, retirees",6,6,6,4,8,9,5,9,8,9,7,https://sydneysuburbreviews.com/oatley-suburb-review
Dulwich Hill,Inner West,"14,500",2203,"English 19.4%, Australian 16.4%, Irish 9.5%, Scottish 6.2%, Greek 5.2%","$1,500,000.00","$1,900,000.00",26.67%,$725.00,"$780,000.00",$475.00,2%,14,20,20,Dulwich Hill,"Jack Shanahan Reserve, heritage homes, boutique cafes","Professionals, families, retirees",5,8,6,4,8,7,6,8,9,8,6.9,https://sydneysuburbreviews.com/dulwich-hill
Jannali,Sutherland Shire,"6,250",2226,"English 28.2%, Australian 26.3%, Irish 9.8%, Scottish 6.5%, Chinese 3.0%","$1,050,000.00","$1,300,000.00",23.81%,$610.00,"$620,000.00",$465.00,8%,13.7,35,45,Jannali,"Royal National Park, Union Place Hotel","Small families, families, retirees, professionals",6,6,7,7,7,8,2,8,8,9,6.8,https://sydneysuburbreviews.com/jannali
Waverton,Lower North Shore,"3,250",2060,"English 24.9%, Australian 15.5%, Irish 11.0%, Chinese 8.4%, Scottish 8.1%","$2,650,000.00","$3,400,000.00",28.30%,"$1,000.00","$1,200,000.00",$630.00,1%,12,10,15 mins,Waverton,"Berrys Bay, Balls Head Reserve","Retirees, young professionals, wealthy families",7,7,5,2,8,9,4,9,8,9,6.8,https://sydneysuburbreviews.com/waverton
Concord,Inner West,"15,000",2137,"Italian 17.7%, English 14.7%, Australian 14.0%, Chinese 9.5%, Irish 7.4%","$1,800,000.00","$2,200,000.00",22.22%,$750.00,"$995,000.00",$500.00,3%,13.5,40,30,Concord West,"Golf courses, multiple parks & ovals, Concord Museum & City of Canada Bay Museum","Families, professionals, retirees",6,5,5,3,8,7,6,9,9,9,6.7,https://sydneysuburbreviews.com/concord
Holsworthy,Western Suburbs,"5,500",2173,"Australian 20.4%, English 18.7%, Indian 9.4%, Chinese 6.5%, Irish 5.9%","$800,000.00","$950,000.00",18.75%,$520.00,"$570,000.00",$515.00,0%,13.3,40,45,Holsworthy,"Holsworthy Barracks, military-themed curation","Families, small families",6,6,7,7,6,7,3,8,8,9,6.7,https://sydneysuburbreviews.com/holsworthy
Summer Hill,Inner West,"7,750",2130,"English 20.3%, Australian 16.3%, Irish 9.7%, Chinese 7.5%, Scottish 6.8%","$1,700,000.00","$2,100,000.00",23.53%,$770.00,"$770,000.00",$475.00,1%,15.2,30,20,Summer Hill,Nice home architecture; main dining strip,"Small families, professionals",6,7,6,3,6,8,5,9,8,9,6.7,https://sydneysuburbreviews.com/summer-hill
Artarmon,North Shore,"10,000",2064,"Chinese 17.9%, English 17.3%, Australian 14.5%, Irish 6.7%, Scottish 4.9%","$2,500,000.00","$2,950,000.00",18.00%,"$1,050.00","$900,000.00",$595.00,5%,15.2,20,15,Artarmon,"Artarmon Reserve, Japanese dining","Young professionals, professionals, families",6,7,6,4,7,8,4,8,8,8,6.6,https://sydneysuburbreviews.com/artarmon
Croydon,Inner West,"11,000",2132,"Chinese 16.6%, English 14.4%, Australian 14.0%, Italian 8.2%, Irish 7.3%","$1,400,000.00","$1,800,000.00",28.57%,$690.00,"$710,000.00",$480.00,3%,17,22,20,Croydon,"Wangal Park, boutique cafes & dining","Families, small families, retirees",4,6,6,4,6,6,6,10,9,9,6.6,https://sydneysuburbreviews.com/croydon
Engadine,Sutherland Shire,"17,500",2233,"Australian 31.2%, English 31.1%, Irish 10.1%, Scottish 7.4%, German 2.4%","$950,000.00","$1,100,000.00",15.79%,$650.00,"$680,000.00",$445.00,1%,14.3,40,50,Engadine,"Sporting amenities, parks & greenery","Families, retirees",4,6,6,7,8,7,3,9,8,8,6.6,https://sydneysuburbreviews.com/engadine
Padstow,Western Suburbs,"14,000",2211,"Australian 16.9%, English 15.5%, Chinese 13.8%, Irish 5.3%, Lebanese 4.9%","$965,000.00","$1,150,000.00",19.17%,$585.00,"$695,000.00",$440.00,8%,11,40,30,Padstow,"Virginius Reserve, Padstow War Memorial","Small families, families, retirees, professionals",5,7,6,7,7,7,5,7,8,7,6.6,https://sydneysuburbreviews.com/padstow
Panania,Western Suburbs,"12,500",2213,"Australian 21.6%, English 18.6%, Irish 7.3%, Chinese 6.6%, Lebanese 5.1%","$950,000.00","$1,100,000.00",15.79%,$630.00,"$750,000.00",$450.00,11%,12,30,40,Panania,Kelso Beach Reserve,"Small families, families, retirees, professionals",6,7,7,7,7,7,3,8,8,6,6.6,https://sydneysuburbreviews.com/panania
Putney,North Shore,"4,500",2112,"English 18.3%, Australian 17.3%, Italian 11.3%, Chinese 9.3%, Irish 7.1%","$2,150,000.00","$2,550,000.00",18.60%,$920.00,,$580.00,0%,15.1,40,25,Meadowbank,"Kissing Point Park, Putney Ferry, Putney Park","Families, professionals, retirees",4,4,3,2,9,8,7,10,9,10,6.6,https://sydneysuburbreviews.com/putney
